YY-MM-DD,UNIQUE STORM NAME,STATUS OF SYSTEM,LATITUDE,LONGITUDE,WIND SPEED,PRESSURE,SR,YEAR,MONTH,DATE,DDMM,JULIAN,START DATE,END DATE,DURATION,TYPE,DECADE
18590902,UNNAMED1859245, HU, 17.3N,  59.7W,70,-999,726,1859,9,2,9/2,245,18590902,18590903,2,Unnamed,1850
18590912,UNNAMED1859255, HU, 35.5N,  57.5W,90,-999,732,1859,9,12,9/12,255,18590912,18590913,2,Unnamed,1850
18590915,UNNAMED1859258, HU, 28.0N,  89.0W,70,-999,739,1859,9,15,9/15,258,18590915,18590918,4,Unnamed,1850
18591002,UNNAMED1859275, HU, 17.5N,  75.4W,80,-999,755,1859,10,2,10/2,275,18591002,18591006,5,Unnamed,1850
18591016,UNNAMED1859289, TS, 25.1N,  75.1W,60,-999,775,1859,10,16,10/16,289,18591016,18591018,3,Unnamed,1850
18591024,UNNAMED1859297, TS, 20.2N,  93.3W,40,-999,786,1859,10,24,10/24,297,18591024,18591029,6,Unnamed,1850
18600808,UNNAMED1860220, TS, 27.9N,  84.1W,40,-999,810,1860,8,8,8/8,220,18600808,18600816,9,Unnamed,1860
18600824,UNNAMED1860236, TS, 28.2N,  77.1W,60,-999,845,1860,8,24,8/24,236,18600824,18600826,3,Unnamed,1860
18600911,UNNAMED1860254, HU, 25.1N,  83.8W,90,-999,857,1860,9,11,9/11,254,18600911,18600911,1,Unnamed,1860
18600911,UNNAMED1860254, HU, 40.0N,  50.5W,70,-999,880,1860,9,11,9/11,254,18600911,18600911,1,Unnamed,1860
18600918,UNNAMED1860261, TS, 22.2N,  66.1W,40,-999,881,1860,9,18,9/18,261,18600918,18600921,4,Unnamed,1860
18600930,UNNAMED1860273, TS, 22.4N,  91.0W,50,-999,897,1860,9,30,9/30,273,18600930,18601003,74,Unnamed,1860
18601020,UNNAMED1860293, HU, 23.5N,  70.6W,70,-999,914,1860,10,20,10/20,293,18601020,18601024,5,Unnamed,1860
18610706,UNNAMED1861187, TS, 15.1N,  58.5W,50,-999,932,1861,7,6,7/6,187,18610706,18610712,7,Unnamed,1860
18610813,UNNAMED1861225, TS, 20.5N,  70.0W,40,-999,960,1861,8,13,8/13,225,18610813,18610817,5,Unnamed,1860
18610825,UNNAMED1861237, HU, 34.4N,  62.0W,80,-999,978,1861,8,25,8/25,237,18610825,18610830,6,Unnamed,1860
18610917,UNNAMED1861260, HU, 28.5N,  50.0W,70,-999,1002,1861,9,17,9/17,260,18610917,18610917,1,Unnamed,1860
18610927,UNNAMED1861270, HU, 28.5N,  77.5W,70,-999,1003,1861,9,27,9/27,270,18610927,18610928,2,Unnamed,1860
18611006,UNNAMED1861279, TS, 20.0N,  46.0W,60,-999,1010,1861,10,6,10/6,279,18611006,18611009,4,Unnamed,1860
18611007,UNNAMED1861280, TS, 35.3N,  75.3W,50,-999,1026,1861,10,7,10/7,280,18611007,18611007,1,Unnamed,1860
18611101,UNNAMED1861305, TS, 25.5N,  82.1W,60,-999,1027,1861,11,1,11/1,305,18611101,18611103,3,Unnamed,1860
18620615,UNNAMED1862166, TS, 32.0N,  75.6W,50,-999,1042,1862,6,15,6/15,166,18620615,18620617,3,Unnamed,1860
18620818,UNNAMED1862230, HU, 28.8N,  71.5W,90,-999,1054,1862,8,18,8/18,230,18620818,18620821,4,Unnamed,1860
18620912,UNNAMED1862255, TS, 22.2N,  56.0W,60,-999,1067,1862,9,12,9/12,255,18620912,18620920,9,Unnamed,1860
18621006,UNNAMED1862279, TS, 13.0N,  61.0W,50,-999,1101,1862,10,6,10/6,279,18621006,18621006,1,Unnamed,1860
18621014,UNNAMED1862287, HU, 33.0N,  69.6W,70,-999,1102,1862,10,14,10/14,287,18621014,18621017,4,Unnamed,1860
18621122,UNNAMED1862326, TS, 10.5N,  79.5W,60,-999,1116,1862,11,22,11/22,326,18621122,18621125,4,Unnamed,1860
18630808,UNNAMED1863220, HU, 37.7N,  50.8W,90,-999,1130,1863,8,8,8/8,220,18630808,18630809,2,Unnamed,1860
18630818,UNNAMED1863230, HU, 39.4N,  58.5W,90,-999,1138,1863,8,18,8/18,230,18630818,18630819,2,Unnamed,1860
18630819,UNNAMED1863231, HU, 26.5N,  66.6W,70,-999,1146,1863,8,19,8/19,231,18630819,18630823,5,Unnamed,1860
18630827,UNNAMED1863239, HU, 29.5N,  75.5W,90,-999,1164,1863,8,27,8/27,239,18630827,18630828,2,Unnamed,1860
18630909,UNNAMED1863252, TS, 18.5N,  60.2W,60,-999,1172,1863,9,9,9/9,252,18630909,18630916,8,Unnamed,1860
18630916,UNNAMED1863259, TS, 24.7N,  79.9W,40,-999,1204,1863,9,16,9/16,259,18630916,18630919,4,Unnamed,1860
18630918,UNNAMED1863261, TS, 22.5N,  96.5W,50,-999,1219,1863,9,18,9/18,261,18630918,18630919,2,Unnamed,1860
18630926,UNNAMED1863269, TS, 31.1N,  70.1W,50,-999,1225,1863,9,26,9/26,269,18630926,18630927,2,Unnamed,1860
18630929,UNNAMED1863272, TS, 28.5N,  95.7W,60,-999,1229,1863,9,29,9/29,272,18630929,18631001,73,Unnamed,1860
18640716,UNNAMED1864197, HU, 30.8N,  76.0W,70,-999,1241,1864,7,16,7/16,197,18640716,18640718,3,Unnamed,1860
18640725,UNNAMED1864206, TS, 24.0N,  89.0W,60,-999,1253,1864,7,25,7/25,206,18640725,18640725,1,Unnamed,1860
18640826,UNNAMED1864238, HU, 14.8N,  54.5W,70,-999,1254,1864,8,26,8/26,238,18640826,18640901,76,Unnamed,1860
18640905,UNNAMED1864248, TS, 33.0N,  72.5W,50,-999,1280,1864,9,5,9/5,248,18640905,18640908,4,Unnamed,1860
18641022,UNNAMED1864295, TS, 28.5N,  72.0W,50,-999,1296,1864,10,22,10/22,295,18641022,18641024,3,Unnamed,1860
18650530,UNNAMED1865150, TS, 13.0N,  80.0W,50,-999,1308,1865,5,30,5/30,150,18650530,18650530,1,Unnamed,1860
18650630,UNNAMED1865181, TS, 26.0N,  97.5W,50,-999,1309,1865,6,30,6/30,181,18650630,18650630,1,Unnamed,1860
18650820,UNNAMED1865232, TS, 30.3N,  78.3W,50,-999,1310,1865,8,20,8/20,232,18650820,18650824,5,Unnamed,1860
18650906,UNNAMED1865249, HU, 16.0N,  55.5W,90,-999,1330,1865,9,6,9/6,249,18650906,18650914,9,Unnamed,1860
18650907,UNNAMED1865250, TS, 29.7N,  92.0W,60,-999,1367,1865,9,7,9/7,250,18650907,18650907,1,Unnamed,1860
18650928,UNNAMED1865271, HU, 25.5N,  69.5W,70,-999,1368,1865,9,28,9/28,271,18650928,18650928,1,Unnamed,1860
18651018,UNNAMED1865291, TS,  9.5N,  80.4W,40,-999,1369,1865,10,18,10/18,291,18651018,18651025,8,Unnamed,1860
18660711,UNNAMED1866192, HU, 28.0N,  87.3W,90,-999,1403,1866,7,11,7/11,192,18660711,18660716,6,Unnamed,1860
18660813,UNNAMED1866225, HU, 14.7N,  62.6W,90,-999,1422,1866,8,13,8/13,225,18660813,18660818,6,Unnamed,1860
18660904,UNNAMED1866247, HU, 33.0N,  68.1W,70,-999,1444,1866,9,4,9/4,247,18660904,18660907,4,Unnamed,1860
18660918,UNNAMED1866261, HU, 15.0N,  29.5W,70,-999,1458,1866,9,18,9/18,261,18660918,18660918,1,Unnamed,1860
18660922,UNNAMED1866265, HU, 40.0N,  62.5W,90,-999,1459,1866,9,22,9/22,265,18660922,18660924,3,Unnamed,1860
18660924,UNNAMED1866267, HU, 13.2N,  35.0W,80,-999,1471,1866,9,24,9/24,267,18660924,18661005,82,Unnamed,1860
18661029,UNNAMED1866302, TS, 29.5N,  75.8W,50,-999,1519,1866,10,29,10/29,302,18661029,18661030,2,Unnamed,1860
18670621,UNNAMED1867172, TS, 29.5N,  80.0W,50,-999,1526,1867,6,21,6/21,172,18670621,18670623,3,Unnamed,1860
18670728,UNNAMED1867209, HU, 18.5N,  56.6W,70,-999,1537,1867,7,28,7/28,209,18670728,18670803,76,Unnamed,1860
18670802,UNNAMED1867214, HU, 14.0N,  77.0W,90,-999,1565,1867,8,2,8/2,214,18670802,18670802,1,Unnamed,1860
18670831,UNNAMED1867243, HU, 30.8N,  71.6W,70,-999,1566,1867,8,31,8/31,243,18670831,18670903,73,Unnamed,1860
18670908,UNNAMED1867251, TS, 17.0N,  58.0W,50,-999,1582,1867,9,8,9/8,251,18670908,18670908,1,Unnamed,1860
18670929,UNNAMED1867272, HU, 30.1N,  73.6W,70,-999,1583,1867,9,29,9/29,272,18670929,18671001,73,Unnamed,1860
18671002,UNNAMED1867275, HU, 23.5N,  96.5W,90,-999,1593,1867,10,2,10/2,275,18671002,18671009,8,Unnamed,1860
18671009,UNNAMED1867282, TS, 17.5N,  62.8W,40,-999,1627,1867,10,9,10/9,282,18671009,18671009,1,Unnamed,1860
18671027,UNNAMED1867300, TS, 19.0N,  50.5W,40,-999,1628,1867,10,27,10/27,300,18671027,18671031,5,Unnamed,1860
18680903,UNNAMED1868246, HU, 27.4N,  69.0W,70,-999,1645,1868,9,3,9/3,246,18680903,18680907,5,Unnamed,1860
18681001,UNNAMED1868274, TS, 25.2N,  94.6W,40,-999,1663,1868,10,1,10/1,274,18681001,18681007,7,Unnamed,1860
18681005,UNNAMED1868278, HU, 17.0N,  80.6W,90,-999,1692,1868,10,5,10/5,278,18681005,18681007,3,Unnamed,1860
18681015,UNNAMED1868288, HU, 26.1N,  73.3W,70,-999,1704,1868,10,15,10/15,288,18681015,18681017,3,Unnamed,1860
18690812,UNNAMED1869224, HU, 40.5N,  47.5W,90,-999,1716,1869,8,12,8/12,224,18690812,18690812,1,Unnamed,1860
18690816,UNNAMED1869228, HU, 27.0N,  91.6W,90,-999,1720,1869,8,16,8/16,228,18690816,18690817,2,Unnamed,1860
18690827,UNNAMED1869239, HU, 32.7N,  46.7W,70,-999,1729,1869,8,27,8/27,239,18690827,18690827,1,Unnamed,1860
18690901,UNNAMED1869244, TS, 28.0N,  73.0W,50,-999,1733,1869,9,1,9/1,244,18690901,18690902,2,Unnamed,1860
18690904,UNNAMED1869247, HU, 26.2N,  88.4W,70,-999,1741,1869,9,4,9/4,247,18690904,18690906,3,Unnamed,1860
18690907,UNNAMED1869250, HU, 27.0N,  74.5W,90,-999,1750,1869,9,7,9/7,250,18690907,18690909,3,Unnamed,1860
18690911,UNNAMED1869254, HU, 11.2N,  38.7W,70,-999,1762,1869,9,11,9/11,254,18690911,18690918,8,Unnamed,1860
18690914,UNNAMED1869257, TS, 16.0N,  43.0W,60,-999,1794,1869,9,14,9/14,257,18690914,18690914,1,Unnamed,1860
18691001,UNNAMED1869274, TS, 17.0N,  67.5W,50,-999,1795,1869,10,1,10/1,274,18691001,18691001,1,Unnamed,1860
18691004,UNNAMED1869277, HU, 31.5N,  75.5W,90,-999,1796,1869,10,4,10/4,277,18691004,18691005,2,Unnamed,1860
18700730,UNNAMED1870211, HU, 30.5N,  88.0W,70,-999,1806,1870,7,30,7/30,211,18700730,18700730,1,Unnamed,1870
18700830,UNNAMED1870242, TS, 21.7N,  59.5W,50,-999,1807,1870,8,30,8/30,242,18700830,18700904,75,Unnamed,1870
18700901,UNNAMED1870244, TS, 16.0N,  27.6W,50,-999,1831,1870,9,1,9/1,244,18700901,18700904,4,Unnamed,1870
18700909,UNNAMED1870252, HU, 24.2N,  64.0W,70,-999,1847,1870,9,9,9/9,252,18700909,18700913,5,Unnamed,1870
18700917,UNNAMED1870260, HU, 30.2N,  68.1W,80,-999,1867,1870,9,17,9/17,260,18700917,18700920,4,Unnamed,1870
18701005,UNNAMED1870278, TS, 17.5N,  74.0W,40,-999,1883,1870,10,5,10/5,278,18701005,18701014,10,Unnamed,1870
18701007,UNNAMED1870280, HU, 12.0N,  35.0W,70,-999,1923,1870,10,7,10/7,280,18701007,18701007,1,Unnamed,1870
18701010,UNNAMED1870283, HU, 34.0N,  50.5W,70,-999,1924,1870,10,10,10/10,283,18701010,18701011,2,Unnamed,1870
18701019,UNNAMED1870292, HU, 19.5N,  84.1W,90,-999,1930,1870,10,19,10/19,292,18701019,18701022,4,Unnamed,1870
18701023,UNNAMED1870296, HU, 21.0N,  72.0W,90,-999,1948,1870,10,23,10/23,296,18701023,18701023,1,Unnamed,1870
18701030,UNNAMED1870303, TS, 17.0N,  85.5W,60,-999,1949,1870,10,30,10/30,303,18701030,18701103,74,Unnamed,1870
18710601,UNNAMED1871152, TS, 24.1N,  81.0W,40,-999,1969,1871,6,1,6/1,152,18710601,18710605,5,Unnamed,1870
18710608,UNNAMED1871159, TS, 23.4N,  90.4W,40,-999,1990,1871,6,8,6/8,159,18710608,18710610,3,Unnamed,1870
18710814,UNNAMED1871226, HU, 26.5N,  72.4W,80,-999,2003,1871,8,14,8/14,226,18710814,18710823,10,Unnamed,1870
18710817,UNNAMED1871229, TS, 11.2N,  30.7W,40,-999,2044,1871,8,17,8/17,229,18710817,18710830,14,Unnamed,1870
18710830,UNNAMED1871242, HU, 26.7N,  65.6W,90,-999,2101,1871,8,30,8/30,242,18710830,18710902,73,Unnamed,1870
18710905,UNNAMED1871248, HU, 26.0N,  90.1W,70,-999,2117,1871,9,5,9/5,248,18710905,18710908,4,Unnamed,1870
18710930,UNNAMED1871273, TS, 21.1N,  92.1W,40,-999,2134,1871,9,30,9/30,273,18710930,18711007,78,Unnamed,1870
18711010,UNNAMED1871283, HU, 22.7N,  58.0W,70,-999,2167,1871,10,10,10/10,283,18711010,18711013,4,Unnamed,1870
18720709,UNNAMED1872190, TS, 23.5N,  92.0W,40,-999,2181,1872,7,9,7/9,190,18720709,18720713,5,Unnamed,1870
18720820,UNNAMED1872232, TS, 14.3N,  29.7W,40,-999,2203,1872,8,20,8/20,232,18720820,18720902,83,Unnamed,1870
18720909,UNNAMED1872252, TS, 12.5N,  59.4W,40,-999,2259,1872,9,9,9/9,252,18720909,18720920,12,Unnamed,1870
18720930,UNNAMED1872273, TS, 13.0N,  31.7W,40,-999,2307,1872,9,30,9/30,273,18720930,18721006,77,Unnamed,1870
18721022,UNNAMED1872295, TS, 23.4N,  89.3W,40,-999,2335,1872,10,22,10/22,295,18721022,18721028,7,Unnamed,1870
18730601,UNNAMED1873152, TS, 24.2N,  78.8W,40,-999,2363,1873,6,1,6/1,152,18730601,18730602,2,Unnamed,1870
18730813,UNNAMED1873225, TS, 13.9N,  25.0W,40,-999,2371,1873,8,13,8/13,225,18730813,18730828,16,Unnamed,1870
18730918,UNNAMED1873261, HU, 22.7N,  89.9W,70,-999,2435,1873,9,18,9/18,261,18730918,18730920,3,Unnamed,1870
18730922,UNNAMED1873265, TS, 22.2N,  86.1W,40,-999,2448,1873,9,22,9/22,265,18730922,18730924,3,Unnamed,1870
18730926,UNNAMED1873269, TS, 14.7N,  62.3W,40,-999,2461,1873,9,26,9/26,269,18730926,18731010,85,Unnamed,1870
18740702,UNNAMED1874183, TS, 25.8N,  85.1W,40,-999,2520,1874,7,2,7/2,183,18740702,18740705,4,Unnamed,1870
18740803,UNNAMED1874215, TS, 24.7N,  53.6W,50,-999,2535,1874,8,3,8/3,215,18740803,18740807,5,Unnamed,1870
18740829,UNNAMED1874241, TS, 13.6N,  34.5W,40,-999,2555,1874,8,29,8/29,241,18740829,18740908,80,Unnamed,1870
18740902,UNNAMED1874245, TS, 20.4N,  94.6W,40,-999,2597,1874,9,2,9/2,245,18740902,18740907,6,Unnamed,1870
18740908,UNNAMED1874251, TS, 25.8N,  70.6W,50,-999,2621,1874,9,8,9/8,251,18740908,18740911,4,Unnamed,1870
18740925,UNNAMED1874268, TS, 17.5N,  86.4W,40,-999,2637,1874,9,25,9/25,268,18740925,18741001,77,Unnamed,1870
18741031,UNNAMED1874304, TS, 13.5N,  78.4W,40,-999,2664,1874,10,31,10/31,304,18741031,18741104,74,Unnamed,1870
18750816,UNNAMED1875228, HU, 29.5N,  74.5W,70,-999,2684,1875,8,16,8/16,228,18750816,18750819,4,Unnamed,1870
18750901,UNNAMED1875244, TS, 10.5N,  36.0W,40,-999,2700,1875,9,1,9/1,244,18750901,18750910,10,Unnamed,1870
18750908,UNNAMED1875251, HU, 13.9N,  55.3W,70,-999,2740,1875,9,8,9/8,251,18750908,18750918,11,Unnamed,1870
18750924,UNNAMED1875267, TS, 23.4N,  93.4W,40,-999,2785,1875,9,24,9/24,267,18750924,18750928,5,Unnamed,1870
18751007,UNNAMED1875280, HU, 23.7N,  68.5W,70,-999,2803,1875,10,7,10/7,280,18751007,18751010,4,Unnamed,1870
18751012,UNNAMED1875285, TS, 27.3N,  74.8W,50,-999,2819,1875,10,12,10/12,285,18751012,18751016,5,Unnamed,1870
18760909,UNNAMED1876252, HU, 39.0N,  60.8W,80,-999,2839,1876,9,9,9/9,252,18760909,18760911,3,Unnamed,1870
18760912,UNNAMED1876255, HU, 17.7N,  58.5W,70,-999,2851,1876,9,12,9/12,255,18760912,18760919,8,Unnamed,1870
18760916,UNNAMED1876259, TS, 19.0N,  57.8W,50,-999,2884,1876,9,16,9/16,259,18760916,18760918,3,Unnamed,1870
18760929,UNNAMED1876272, TS, 14.1N,  58.8W,50,-999,2896,1876,9,29,9/29,272,18760929,18761005,77,Unnamed,1870
18761012,UNNAMED1876285, TS, 12.0N,  79.0W,40,-999,2922,1876,10,12,10/12,285,18761012,18761023,12,Unnamed,1870
18770801,UNNAMED1877213, TS, 23.1N,  72.1W,40,-999,2971,1877,8,1,8/1,213,18770801,18770805,5,Unnamed,1870
18770914,UNNAMED1877257, TS, 21.5N,  92.0W,40,-999,2989,1877,9,14,9/14,257,18770914,18770921,8,Unnamed,1870
18770916,UNNAMED1877259, HU, 25.5N,  50.5W,70,-999,3023,1877,9,16,9/16,259,18770916,18770922,7,Unnamed,1870
18770921,UNNAMED1877264, TS, 11.7N,  55.5W,50,-999,3051,1877,9,21,9/21,264,18770921,18771005,85,Unnamed,1870
18770924,UNNAMED1877267, TS, 21.2N,  68.0W,40,-999,3112,1877,9,24,9/24,267,18770924,18770929,6,Unnamed,1870
18771013,UNNAMED1877286, TS, 27.0N,  48.0W,50,-999,3136,1877,10,13,10/13,286,18771013,18771018,6,Unnamed,1870
18771024,UNNAMED1877297, TS, 24.5N,  94.1W,40,-999,3160,1877,10,24,10/24,297,18771024,18771028,5,Unnamed,1870
18771128,UNNAMED1877332, TS, 23.2N,  76.5W,40,-999,3179,1877,11,28,11/28,332,18771128,18771130,3,Unnamed,1870
18780701,UNNAMED1878182, TS, 25.4N,  87.3W,40,-999,3191,1878,7,1,7/1,182,18780701,18780703,3,Unnamed,1870
18780808,UNNAMED1878220, TS, 15.0N,  60.5W,40,-999,3204,1878,8,8,8/8,220,18780808,18780819,12,Unnamed,1870
18780819,UNNAMED1878231, HU, 35.5N,  60.5W,80,-999,3249,1878,8,19,8/19,231,18780819,18780821,3,Unnamed,1870
18780825,UNNAMED1878237, TS, 24.7N,  77.1W,40,-999,3261,1878,8,25,8/25,237,18780825,18780830,6,Unnamed,1870
18780901,UNNAMED1878244, TS,  8.5N,  54.2W,50,-999,3285,1878,9,1,9/1,244,18780901,18780913,13,Unnamed,1870
18780912,UNNAMED1878255, HU, 12.5N,  45.0W,70,-999,3340,1878,9,12,9/12,255,18780912,18780918,7,Unnamed,1870
18780924,UNNAMED1878267, TS, 15.1N,  71.9W,40,-999,3368,1878,9,24,9/24,267,18780924,18781008,85,Unnamed,1870
18781009,UNNAMED1878282, TS, 23.5N,  91.3W,40,-999,3428,1878,10,9,10/9,282,18781009,18781016,8,Unnamed,1870
18781009,UNNAMED1878282, TS, 15.6N,  38.0W,40,-999,3457,1878,10,9,10/9,282,18781009,18781016,8,Unnamed,1870
18781013,UNNAMED1878286, TS, 16.6N,  36.2W,40,-999,3489,1878,10,13,10/13,286,18781013,18781019,7,Unnamed,1870
18781018,UNNAMED1878291, TS, 17.2N,  79.6W,40,-999,3517,1878,10,18,10/18,291,18781018,18781025,8,Unnamed,1870
18781125,UNNAMED1878329, TS, 14.6N,  50.3W,40,-999,3550,1878,11,25,11/25,329,18781125,18781202,78,Unnamed,1870
18790809,UNNAMED1879221, TS, 31.5N,  77.0W,40,-999,3582,1879,8,9,8/9,221,18790809,18790812,4,Unnamed,1870
18790813,UNNAMED1879225, TS, 19.0N,  58.0W,40,-999,3598,1879,8,13,8/13,225,18790813,18790820,8,Unnamed,1870
18790819,UNNAMED1879231, TS, 16.7N,  81.1W,60,-999,3630,1879,8,19,8/19,231,18790819,18790824,6,Unnamed,1870
18790829,UNNAMED1879241, TS, 23.5N,  88.5W,50,-999,3655,1879,8,29,8/29,241,18790829,18790902,74,Unnamed,1870
18791003,UNNAMED1879276, TS, 14.5N,  77.6W,40,-999,3676,1879,10,3,10/3,276,18791003,18791007,5,Unnamed,1870
18791009,UNNAMED1879282, TS, 14.2N,  56.0W,40,-999,3697,1879,10,9,10/9,282,18791009,18791016,8,Unnamed,1870
18791024,UNNAMED1879297, TS, 20.2N,  84.6W,40,-999,3730,1879,10,24,10/24,297,18791024,18791029,6,Unnamed,1870
18791118,UNNAMED1879322, TS, 21.7N,  73.5W,60,-999,3755,1879,11,18,11/18,322,18791118,18791121,4,Unnamed,1870
